time,kanaaldijk_LAeq,tijnmuiden_LAeq,van_essenweg24_1_5mt_LAeq,van_essenweg2_5mtr_LAeq,van_essenweg2_1_5mtr_LAeq,van_essenweg24_5mtr_LAeq,zijkanaal_f_LAeq,zijkanaal_f_1_5mtr_LAeq,scharenburg_LAeq,haarlemmerweg_719_LAeq,teding_van_berkhout_LAeq,westpoortweg_2_LAeq,doblijn_LAeq,doblijn_LAeq,westpoortweg_1_LAeq,herwijk_LAeq,droompark_LAeq,foh_LAeq,kanaaldijk_LCeq,tijnmuiden_LCeq,van_essenweg24_1_5mt_LCeq,van_essenweg2_5mtr_LCeq,van_essenweg2_1_5mtr_LCeq,van_essenweg24_5mtr_LCeq,zijkanaal_f_LCeq,zijkanaal_f_1_5mtr_LCeq,scharenburg_LCeq,haarlemmerweg_719_LCeq,teding_van_berkhout_LCeq,westpoortweg_2_LCeq,doblijn_LCeq,westpoortweg_1_LCeq,herwijk_LCeq,droompark_LCeq,foh_LCeq
,65.8,62.4,62.4,70.5,53.8,57.5,64.55,67.39,72.67,62.43,62.83,62.09,63.12,65.69,63.27,72.86,69.05,62.13,71.4,68.9,72.5,65.5,64.8,76.5
11:39,57.3,62.17,51.11,52.26,50.71,52.84,57.69,54.97,61.83,66.27,52.56,67.2,61.9,61.9,67.8,52.5,58.4,66.39,64.94,73.28,62.09,61.64,61.3,62.55,64.67,61.44,71.44,69.95,59.37,72.9,68.8,69,65.3,64.7,76.86
11:42,58.95,61.03,49.03,52.45,51.24,51.23,57.62,55.37,65.55,66.18,52.2,67,61.3,61.3,71.3,54.8,63.8,68.11,66.81,73.54,61.68,61.39,60.62,61.51,64.97,62.1,73.06,69.95,61.71,72.8,68.2,73,66.9,70.3,77.76
11:44,59.46,66.63,48.55,53.56,52.34,50.62,58.91,56.69,67.29,66.07,55.7,69.5,62.3,62.3,73,55.3,64.5,68.26,66.84,75.06,62.24,61.51,60.95,64.21,65.54,63,75.97,70.23,64.71,74.4,68.6,74.1,65.4,71,77.48
11:47,58.15,62.75,50.44,54.64,52.94,51.85,57.57,55.25,64.54,66.04,53.33,69.5,63.6,63.6,71.7,54.9,65,67.88,66.21,75.62,64.54,63.69,63.53,66.8,65.12,62.44,74.6,70.74,64.08,74.1,70.2,73.1,65.6,71.5,76.54
11:49,59.56,62.02,49.31,53.89,52.59,51.02,56.23,53.7,63.16,67.6,53.22,69.2,62.6,62.6,71.6,54.2,65.2,66.05,66.57,73.18,65.78,61.68,61.98,68.15,66.06,63.41,72.91,70.06,62.67,73.1,69.7,72.4,66.2,71.6,75.4
11:52,59.85,62.36,49.97,53.11,51.72,53.42,56.4,54.43,62.7,68.33,53.76,68.2,62.6,62.6,72.4,55.9,61.2,68.14,67.39,75.74,67.12,62.23,62.06,68.47,65.05,62.59,72.23,73.88,62.38,73.3,71.1,73,67.1,67.4,76.2
11:54,60.83,62.82,50.51,52.95,51.38,53.99,56.95,54.55,70.5,67.65,52.65,70.1,62.6,62.6,72.4,58.4,66,68.79,69.43,73.33,66.94,61.82,61.2,68.03,65.27,62.03,76.21,70.62,60.46,73.7,68.3,73.3,67.7,72.1,76.17
11:57,61.84,63.16,50.23,52.55,51.33,52.56,49.21,46.38,63.63,65.86,50.05,66.4,63.4,63.4,72,57,64.6,67.52,69.66,71.48,67.44,62.4,62.02,67.64,64.86,62.17,72.33,68.9,60.08,71.4,69.1,72.6,66.8,71.2,75.08
11:59,60.83,62.25,48.93,51.78,50.05,51.24,54.01,56.58,66.83,66.97,48.88,68.9,63,63,73,53.9,62.7,68.05,68.45,71.69,66.86,62.65,62.49,67.42,58.29,57.86,76.21,69.65,58.47,73.5,69.6,73.9,64.2,69.3,76.35
12:02,59.26,64.32,50.93,53.66,52.89,52.61,52.58,51.71,67.23,66.36,52.05,70.9,63,63,72.2,54.8,54.2,84.05,66.97,74.4,70.74,65.97,65.99,70.45,64.9,63,78.56,69.49,62.95,75.8,70.1,74.7,66.4,63.3,103.73
12:04,60.77,63.86,51.24,53.46,52.34,52.49,53.27,53.41,69.36,64.92,50.57,71.2,63.4,63.4,72.4,56.6,55.6,89.19,70.06,77.35,73.41,67.09,67.42,70.45,66.58,64.41,81.7,68.42,61.31,77.7,71.9,73.7,69,64,108.28
12:07,60.81,64.92,52.28,52.44,51.04,53.66,49,47.42,70.54,66.48,49.86,70.8,63.8,63.8,70.8,57.4,57,91.32,68.2,79.54,73.31,66.75,66.38,72.27,65.77,60.19,82.33,69.16,58.9,78.4,72,71.9,69.1,62.2,110.11
12:09,60.57,66.46,52.8,52.82,51.26,53.59,49.57,47.47,73.23,67.82,47.6,70.9,64.7,64.7,70,55.9,54.9,92.87,68.9,80.12,73.98,66.38,66.02,72.45,64.59,60.24,84.53,73.61,59.1,78.5,71.6,71.3,68.3,58.2,111.09
12:12,61.47,64.84,52.09,53.09,51.54,53.5,51.24,49.69,71.9,69.41,51.35,71.3,63.7,63.7,70.8,54.8,53.6,93.7,71.39,77.74,72.45,66.92,66.19,71.51,64.3,60.53,80.15,75.1,61.32,76.8,72.6,71.8,66.4,58.4,110.39
12:14,60.47,65.6,51.5,53.34,51.99,52.82,54.56,54.24,70.46,66.87,50.67,69.1,64.7,64.7,72.1,55.1,55.2,92.81,70.18,77.88,70.54,66.29,65.38,70.49,64.88,61.92,79.87,70.95,61.65,76,71.9,73.1,65.4,62.7,108.27
12:17,61.11,64.56,58.53,52.95,51.51,55.1,56.29,56.33,68.96,66.87,51.68,70,63.6,63.6,71.7,56.8,55.5,90.2,70.08,75.91,71.34,65.93,65.68,69.64,66.48,65.16,78.61,70.98,61.83,75.8,70.3,72.4,67,61.6,107.42
12:19,59.93,65.54,53.25,54.51,52.99,54.5,53.8,55.11,70.9,66.59,52.16,70.9,64,64,70,63.9,53.7,90.97,67.32,78.87,74.02,68.17,67.97,73.01,63.28,61.46,80.91,69.21,61.03,78.6,72.6,71.2,72.8,57.2,109.22
12:22,58.97,64.2,52.24,53.29,52.58,54.15,51.68,52.04,69.84,66.45,52.27,69.8,62,62,67.9,56.3,54.3,91.78,67.03,79.46,72.52,65.17,65.27,71.43,59.48,57.03,78.83,69.03,62.09,76.1,70.8,70.4,67.3,58.1,108.93
12:24,59.53,63.59,55.96,52.18,50.95,53.48,53.08,54.94,67.72,67.45,47.02,66.6,62.4,62.4,66.8,56.1,53.2,89.47,66.76,77.28,72.22,65.21,65.37,70.2,58.62,57.39,78.51,69.88,58.83,74.7,69.7,68.2,67,56.2,105.95
12:27,60.68,63.22,52.95,52.63,51.15,53.06,50.4,48.22,66.52,66.61,50.57,69.8,62.3,62.3,74.5,59.1,53.3,87.26,68.24,76.98,71.34,65.23,65.08,69.93,60.56,58.73,78.94,69.93,59.49,75,70.6,76.5,67.6,58.6,105.98
12:29,60.54,69.45,53.7,52.48,51.25,53.14,51.03,49.05,70.1,65.64,50.17,72.1,62.9,62.9,73.4,58.6,55.3,87.75,68.53,79.14,70.55,65.87,65.89,69.99,59.08,58.06,79.12,68.51,59.83,77.5,71.1,75.5,67.1,60.2,106.65
